human_ensembl_gene_id,mouse_accession,mouse_ensembl_gene_id,Mmus_C57-6J_LVR_FLT_C_Rep1_M25_rna,Mmus_C57-6J_LVR_FLT_C_Rep1_M25_prot
ENSG00000003393,Q920R0,ENSMUSG00000026024,918.610193871409,-1.1490921118693531
ENSG00000003393,Q920R0,ENSMUSG00000026024,918.610193871409,-1.1490921118693531
ENSG00000010256,Q9CZ13,ENSMUSG00000025651,3861.29183224771,1.3821997793413654
ENSG00000010256,Q9CZ13,ENSMUSG00000025651,3861.29183224771,1.3821997793413654
ENSG00000021826,Q8C196,ENSMUSG00000025991,60011.9551939858,3.971131726586152
ENSG00000021826,Q8C196,ENSMUSG00000025991,60011.9551939858,3.971131726586152
ENSG00000023228,Q91VD9,ENSMUSG00000025968,1868.26756987648,0.30648138084294463
ENSG00000023228,Q91VD9,ENSMUSG00000025968,1868.26756987648,0.30648138084294463
ENSG00000048162,Q9CPT5,ENSMUSG00000025869,329.720331152051,0.25707487116448047
ENSG00000055044,Q6DFW4,ENSMUSG00000026020,456.387742095555,-0.776529867506104
ENSG00000055044,Q6DFW4,ENSMUSG00000026020,456.387742095555,-0.776529867506104
ENSG00000064012,O89110,ENSMUSG00000026029,416.782775617113,
ENSG00000064012,O89110,ENSMUSG00000026029,416.782775617113,
ENSG00000072135,Q61152,ENSMUSG00000026126,90.3536009850553,1.0942358126296003
ENSG00000074582,Q9CZP5,ENSMUSG00000026172,229.836541492872,
ENSG00000074582,Q9CZP5,ENSMUSG00000026172,229.836541492872,
ENSG00000075914,Q9D0M0,ENSMUSG00000025785,436.278326806943,-0.08390103851073165
ENSG00000079739,Q9D0F9,ENSMUSG00000025791,2499.30143684593,1.2113566526015025
ENSG00000079739,Q9D0F9,ENSMUSG00000025791,2499.30143684593,1.2113566526015025
ENSG00000084754,Q8BMS1,ENSMUSG00000025745,3823.17739470334,1.517805475364799
ENSG00000084754,Q8BMS1,ENSMUSG00000025745,3823.17739470334,1.517805475364799
ENSG00000103269,Q8VC82,ENSMUSG00000025735,68.6726055673903,
ENSG00000175866,Q8BKX1,ENSMUSG00000025372,1245.03443332421,-0.5017687697496487
ENSG00000175866,Q8BKX1,ENSMUSG00000025372,1245.03443332421,-0.5017687697496487
ENSG00000182199,Q9CZN7,ENSMUSG00000025403,4510.82310184171,0.7259123380100256
ENSG00000182199,Q9CZN7,ENSMUSG00000025403,4510.82310184171,0.7259123380100256
ENSG00000182208,Q8VI63,ENSMUSG00000025147,280.595991237669,-0.5327281710358506
ENSG00000185624,P09103,ENSMUSG00000025130,28127.2471153442,2.0136223423599584
ENSG00000185624,P09103,ENSMUSG00000025130,28127.2471153442,2.0136223423599584
ENSG00000185664,Q60696,ENSMUSG00000025359,19.0439440730843,0.3244742957318965
ENSG00000185813,Q922E4,ENSMUSG00000025137,15917.207334184,0.02730067318818443
ENSG00000185813,Q922E4,ENSMUSG00000025137,15917.207334184,0.02730067318818443
ENSG00000187531,Q8BKJ9,ENSMUSG00000025138,1188.24682040925,0.5171407658408306
ENSG00000189221,Q64133,ENSMUSG00000025037,182.678674241144,-0.38842162783108186
ENSG00000189221,Q64133,ENSMUSG00000025037,182.678674241144,-0.38842162783108186
ENSG00000196865,Q8BZW8,ENSMUSG00000025078,390.970485623484,0.02922611243865662
