mouse_ensembl_gene_id,hgnc_symbol,mouse_accession,Mmus_C57-6J_LVR_FLT_I_Rep1_M21_prot,Mmus_C57-6J_LVR_FLT_I_Rep2_M22_prot,Mmus_C57-6J_LVR_FLT_C_Rep1_M25_prot,Mmus_C57-6J_LVR_FLT_C_Rep2_M26_prot,Mmus_C57-6J_LVR_FLT_C_Rep3_M27_prot,Mmus_C57-6J_LVR_FLT_C_Rep4_M28_prot,Mmus_C57-6J_LVR_FLT_C_Rep5_M30_prot,Mmus_C57-6J_LVR_FLT_I_Rep1_M21_rna,Mmus_C57-6J_LVR_FLT_I_Rep2_M22_rna,Mmus_C57-6J_LVR_FLT_C_Rep1_M25_rna,Mmus_C57-6J_LVR_FLT_C_Rep2_M26_rna,Mmus_C57-6J_LVR_FLT_C_Rep3_M27_rna,Mmus_C57-6J_LVR_FLT_C_Rep4_M28_rna,Mmus_C57-6J_LVR_FLT_C_Rep5_M30_rna,RNA-Seq,Proteomics,STD_rna,STD_prot,Protein-Rna_Ratios
ENSMUSG00000026024,ALS2,Q920R0,-1.1084881129109054,-0.8374815375310485,-1.1490921118693531,-0.8556342819802679,-0.8751438442933256,-1.3161995213206268,-1.2733008117110904,1655.46115159401,1945.42077332206,918.610193871409,801.334739585851,929.607041750252,1262.95687926322,1088.57144839354,1228.8517468257633,-1.0593343173738023,425.2208215214005,0.20284330639804038,-0.0008620521719647305
ENSMUSG00000025968,NDUFS1,Q91VD9,0.3891948845542665,0.3619036881961182,0.3064813808429446,0.2376209394147841,0.3136919197198158,0.1660316465970065,0.2733080135915099,1736.7216213897,1525.62217054642,1868.26756987648,1830.75140038631,2198.40896519911,1566.10632746636,1646.44847064402,1767.4752179297714,0.29260463898806366,228.94775672141668,0.07548240468936304,0.00016554950022483993
ENSMUSG00000025869,NOP16,Q9CPT5,0.085978242351351,-0.0904005027094022,0.2570748711644804,-0.198395347752163,0.0512261007545294,-0.1484117824649194,0.0335256132953618,390.548628492344,500.148911702897,329.720331152051,323.710741675854,395.125695877454,286.714609388014,371.067172411003,371.005155814231,-0.0013432579086802843,69.14713284157295,0.15640450727146019,-3.620590947671029e-06
ENSMUSG00000026020,NOP58,Q6DFW4,-0.8496734801409519,-1.014700825970901,-0.776529867506104,-0.691067640869863,-0.6898735575232741,-0.8692998063815361,-0.880214950993047,338.561455711222,342.03422993087,456.387742095555,730.963231468315,485.026272101493,717.258770361224,431.980640304241,500.31604885327425,-0.8244800184836681,162.43621893774713,0.11557886269558447,-0.0016479183915314702
ENSMUSG00000026126,PTPN18,Q61152,0.906487167285099,0.8958341183094649,1.0942358126296003,1.0014946454375169,1.0428033621653616,1.0111971159782231,0.9393313852866124,62.4551785033187,94.601176112923,90.3536009850553,107.448479557326,133.263460081041,39.5918743755275,64.5646887681819,84.61120834048191,0.9844833724416969,31.466516916645602,0.07351941586221217,0.011635377767920075
ENSMUSG00000025785,EXOSC7,Q9D0M0,-0.1258520822021424,-0.0799855737966683,-0.0839010385107316,-0.115583706444074,0.1155465963967675,-0.1740092521086522,-0.138264404745107,343.291064998073,429.026761459215,436.278326806943,491.561128904481,553.800458174309,573.722310396993,463.596206364685,470.1823224435284,-0.08600706591580114,78.69519718015589,0.09451824315480073,-0.00018292279783898316
ENSMUSG00000025791,PGM1,Q9D0F9,1.2169775009460235,1.1226339757955448,1.2113566526015025,1.1304441109756054,1.2960961736249104,1.150437976723024,1.1182058960133403,4410.91989370362,4976.3849501578,2499.30143684593,2066.90402491789,2886.0182443223,2313.994171639,2756.54626148359,3130.0098547243038,1.178021755239993,1113.7554482627738,0.06613190604186857,0.0003763635930608771
ENSMUSG00000025745,HADHA,Q8BMS1,1.6336838829737166,1.7474676881380584,1.517805475364799,1.497469950470116,1.7121361185946893,1.5769024063207175,1.506342128164431,6378.6279619595,7368.78602754999,3823.17739470334,3187.33658855613,3959.16813282067,3766.40450264635,4444.8005021525,4704.043015769783,1.598829664289504,1553.6314418683744,0.10166930955953415,0.0003398841504913124
ENSMUSG00000025372,BAIAP2,Q8BKX1,-0.5714027604149662,-0.6611001221291414,-0.5017687697496487,-0.5005357839180894,-0.3958527231978894,-0.4945726952229899,-0.5589726021628191,804.833039488561,1060.03519199376,1245.03443332421,1600.57171240998,1543.92379466437,1852.81411234546,1594.25751152009,1385.9242565352044,-0.5263150652565063,364.26796321630553,0.0822207589844239,-0.0003797574526708178
ENSMUSG00000025403,SHMT2,Q9CZN7,0.842336245190671,0.7776456064597488,0.7259123380100256,0.5843079422344887,0.7847386760114737,0.6712673646416364,0.6374950355445995,3992.25911326124,5251.62832322043,4510.82310184171,4146.51325689786,4108.34222487474,4810.61510490841,4884.32445090963,4529.215082273431,0.7176718868703776,472.48000909570555,0.09135239224938621,0.00015845392056544676
ENSMUSG00000025147,MOB2,Q8VI63,-0.4558110492098032,-0.6154463971326927,-0.5327281710358506,-0.4979953516732466,-0.6341727631795633,-0.6014505410192498,-0.4209753403092762,381.038825146002,447.098834224023,280.595991237669,231.029305936572,336.952606071964,284.81099873834,285.743247400142,321.038544107816,-0.5369399447942403,73.07523963815748,0.08300924508640123,-0.001672509281670294
ENSMUSG00000025359,PMEL,Q60696,0.5003601528188077,0.5881330853630679,0.3244742957318965,0.9717607679566684,0.5167996106784349,0.5278204669558005,0.558307846803442,5.45954926981861,3.619213720484,19.0439440730843,2.04317450774723,4.16180084467169,2.7766948024388,5.23670113277315,6.048725478716825,0.569665175186874,5.8608283507883785,0.1964766395572514,0.09417937335581025
ENSMUSG00000025138,SIRT7,Q8BKJ9,-0.3866901741078817,-0.1009138418567646,0.5171407658408306,0.5080497198306798,0.4349018389480887,0.2439874877923318,0.4032968301932974,687.063643703704,1010.49929376003,1188.24682040925,1236.4415036064,1127.33218844259,1457.12171065457,1361.95776313113,1152.6661319582392,0.23139608952008311,252.4610135611394,0.3468358807350744,0.0002007485802736039
ENSMUSG00000025037,MAOA,Q64133,-0.3268371482743879,-0.5878357136449557,-0.3884216278310818,-0.0589184965807481,-0.4847398768810255,-0.1783305302335683,-0.1109299553949335,344.643490936038,201.136251578286,182.678674241144,174.421177475877,232.483621373791,156.965433567002,191.830467539037,212.0227309587393,-0.3051447641201001,63.03360668973459,0.19748535376134022,-0.0014392077808840357
ENSMUSG00000025078,NHLRC2,Q8BZW8,-0.0466038245693807,-0.0662489369985685,0.0292261124386566,-0.0780816649101794,0.0730661644599787,-0.0130814008125192,0.0767775343040575,368.333855405041,606.049254320769,390.970485623484,295.627835797343,372.215510431883,419.527541537247,437.14218678966,412.83809570077534,-0.0035637165839935724,96.44795537826585,0.06432654563506474,-8.632237724922922e-06
ENSMUSG00000025362,RPS26,P62855,0.9536035609374344,0.958712623922122,1.1302003712530833,0.9647335222532348,1.0820954138005436,0.986687569781332,0.8857784960179277,2654.90382160203,3350.35717399243,5279.23651406723,5933.99652373217,5392.48748273167,4382.1007261582,4535.85517058857,4504.133916124614,0.9945445082808112,1169.1317450631514,0.08347477774377447,0.00022080704677105242
