mouse_ensembl_gene_id,hgnc_symbol,mouse_accession,Mmus_C57-6J_LVR_GC_I_Rep1_M31_prot,Mmus_C57-6J_LVR_GC_I_Rep2_M32_prot,Mmus_C57-6J_LVR_GC_C_Rep1_M36_prot,Mmus_C57-6J_LVR_GC_C_Rep2_M37_prot,Mmus_C57-6J_LVR_GC_C_Rep3_M38_prot,Mmus_C57-6J_LVR_GC_C_Rep4_M39_prot,Mmus_C57-6J_LVR_GC_I_Rep1_M31_rna,Mmus_C57-6J_LVR_GC_I_Rep2_M32_rna,Mmus_C57-6J_LVR_GC_C_Rep1_M36_rna,Mmus_C57-6J_LVR_GC_C_Rep2_M37_rna,Mmus_C57-6J_LVR_GC_C_Rep3_M38_rna,Mmus_C57-6J_LVR_GC_C_Rep4_M39_rna,Mmus_C57-6J_LVR_GC_C_Rep5_M40_rna,RNA-Seq,Proteomics,STD_rna,STD_prot,Protein-Rna_Ratios
ENSMUSG00000026024,ALS2,Q920R0,-0.3852917271065519,-0.5643445572030389,-0.4555131997000542,-0.5160181620491707,-0.4188047095979506,-0.4441629062725997,2425.22130904649,1881.55703109394,584.0483574132,1015.68920827596,858.730994162182,1191.11764497171,951.796967409699,1272.5945017675972,-0.46402254365489437,648.114262158778,0.06554091677299818,-0.00036462717936497477
ENSMUSG00000025968,NDUFS1,Q91VD9,1.4107410861238194,1.4442810751224366,1.271867438941152,1.4026715119972912,1.4711311444647934,1.343994827601996,1682.02245297432,2298.3527993894,2456.55436928945,1519.01229489296,1638.68488307944,1570.25693791402,1827.45598184608,1856.04853134081,1.3907811807085817,371.9005583755942,0.07237067637987607,0.0007493237149913752
ENSMUSG00000025869,NOP16,Q9CPT5,0.7512950081500944,0.3178809288232709,0.8023935325712706,0.5955919580844669,0.6725544644312234,0.76440296049725,409.877278500447,493.985664758878,420.310464313567,271.200541706388,373.523838561311,405.45747174192,432.677493948898,401.0046790759156,0.6506864754262627,67.97573746186545,0.1790763488880113,0.0016226406059044486
ENSMUSG00000026020,NOP58,Q6DFW4,-1.34428939292814,-1.5305640819482278,-1.0263106173013896,-1.2262367937718586,-1.156511218793483,-1.030097369556708,352.910076932206,305.268681805271,429.551754867188,413.208324139369,477.461619486917,424.124865750443,465.729772681731,409.75072795187504,-1.2190015790499678,61.20515682577636,0.1946998870464605,-0.002974983315205089
ENSMUSG00000026029,CASP8,O89110,-0.5357386484289487,-0.5807916073473381,-0.9773745821150516,-1.0415043734970033,-0.5900872263841354,-0.9403742732445668,527.058902895861,385.472881547545,359.368822278144,423.47408218372,417.342478953558,433.505952440807,481.843162887307,432.5808975981346,-0.7776451185028407,56.639262930088464,0.23170772576576937,-0.0017976871443483595
ENSMUSG00000026126,PTPN18,Q61152,0.8585725598743206,0.7883494882765063,0.858992511600019,0.92892376047523,0.7949487291169637,0.9363460007432992,64.193337451599,43.9691289834094,117.831683512596,65.1412547126676,116.827917894682,85.857638650807,52.3255882820674,78.02093564111836,0.8610221750143898,29.802562800433243,0.06315289990001667,0.011035783766743456
ENSMUSG00000026172,BCS1L,Q9CZP5,-1.0287722079116273,-0.895630813024743,-1.52602294470418,-1.0875083208957292,-1.2323904447833578,-1.107317107805654,305.419405683448,312.245184121167,321.029946791932,208.594541987594,185.305781389458,271.635516330341,252.467622076377,265.2425711971881,-1.146273639854215,52.818263219865216,0.21597454751725076,-0.004321605067694982
ENSMUSG00000025785,EXOSC7,Q9D0M0,0.2780099379721334,0.2995679534864642,0.5260933109398951,0.3596197786560867,0.4220783972221337,0.5325824403692746,331.45633907835,325.532787587054,514.794009700709,429.11793481551,437.783101986485,478.146685649658,494.022718828215,430.1219396637116,0.4029919697743312,75.60041683532673,0.11000918539778008,0.0009369249336348856
ENSMUSG00000025745,HADHA,Q8BMS1,1.442791416155211,1.4823605375167732,1.1618004006252196,1.3439137618194337,1.4580381724358031,1.3280856114280772,6996.76033413505,7499.431676116,4349.99416000324,4975.6501817808,4553.33638486869,4574.02948601458,4765.37814104917,5387.797194852504,1.3694983166634198,1293.613226035302,0.1195467032731097,0.0002541852016946438
ENSMUSG00000025735,RHBDL1,Q8VC82,2.000258373510932,2.222538731803985,1.5223248177082536,1.804561701180488,1.4046576627959162,1.6688221611442646,11.270743914123,14.9066918893947,105.386628801187,152.173191316886,81.321468101285,150.021933730266,169.098678624457,97.73990519679981,1.7705272413573068,65.1341720717141,0.3046499762005455,0.01811468138619882
ENSMUSG00000025372,BAIAP2,Q8BKX1,-0.8772628703417996,-0.7556805222510861,-0.6529278778000588,-0.7442888234646549,-0.7880055089525695,-0.8692818800797876,889.111205237453,819.238539910624,1259.75265035421,991.15417440301,867.408920513318,950.840230243351,1140.68463968185,988.3129086205452,-0.781241247148326,158.8258200482856,0.08426175102893708,-0.0007904796551112107
ENSMUSG00000025403,SHMT2,Q9CZN7,1.0664440699104856,1.0501918715611511,0.9204865058500526,1.046838779085829,1.0671764511457993,1.0270936831292372,4641.8476655461,4176.02554972681,4247.28607445114,4547.45383904658,4155.04334468826,4174.23912009392,5248.85542825924,4455.821574544579,1.0297052267804256,400.71477056247096,0.05550251461124567,0.00023109211389050512
ENSMUSG00000025147,MOB2,Q8VI63,-1.2310372339702862,-1.2600396098296724,-1.0301641093884777,-1.1799414313298409,-1.2957761190392243,-1.291084388882671,302.983518577115,389.63579265838,313.164242469116,387.677160510157,299.115042457653,349.226749934115,392.866997484589,347.809929155875,-1.2146738154066954,42.723663355349494,0.09999214597430812,-0.0034923494517671615
ENSMUSG00000025138,SIRT7,Q8BKJ9,-0.2668682404615233,-0.29142050599822,0.3828426801108853,0.1870011866612045,0.4141954554324166,0.3935902183968862,841.065185806067,537.887753653037,1141.75911076756,1800.02527458735,1272.46030997334,1326.6714655664,1560.76093828733,1211.5185769487264,0.1365567990236082,424.4928399327299,0.33234533538823835,0.00011271539836189201
ENSMUSG00000025037,MAOA,Q64133,0.0484066700072781,0.323315336016915,0.0418743605256504,0.07488547087625,0.017574048432492,-0.1963160543471189,296.814437985823,263.962883255217,246.200488633765,172.157287586324,220.531443895473,169.192998976049,185.898535513744,222.108296549485,0.051623305251911104,49.19690537069823,0.16558765323818714,0.00023242402942120444
ENSMUSG00000025078,NHLRC2,Q8BZW8,0.3731474756690888,0.3430127667963736,0.4090952823698598,0.4683884784343921,0.5715484135766364,0.5254213555090109,752.024928839337,804.829360360647,637.176767854773,1046.60092201383,796.168567206323,564.02948980244,1002.21552489143,800.4350801383973,0.44843562872589354,176.17931435653435,0.0892318606698843,0.0005602398493683683
ENSMUSG00000025362,RPS26,P62855,0.4794398352203835,0.6529151456908794,0.5568706885414281,0.4553578091621741,0.6892406181455664,0.4588695208089114,2764.32610420817,3113.6069180405,5510.1725199052,3931.16961579072,5428.25091009088,4789.84884638007,4676.36601929041,4316.248704815136,0.5487822695948905,1081.594616405764,0.10223348912077491,0.00012714333837683588
ENSMUSG00000024899,PAPSS2,O88428,1.412580330622443,1.186023562859733,1.0217591265719757,1.307237702698756,1.0278871097161555,1.0769452152357335,9540.49838668109,7927.29856226825,4438.81566561458,4191.14993018725,3819.6102595633,3363.31105173513,4468.55052773605,5392.747769112236,1.172072174617466,2360.4068253862088,0.16046246793242935,0.00021734229465184403
ENSMUSG00000025059,GK,Q64516,0.3887522606244137,0.5854391072445618,0.4294548826796933,0.3423506352524542,0.3848148701902478,0.2597585464227289,2304.68216696246,2023.11802411043,2568.49170732569,2081.50354655045,2343.84566454375,2357.49789586324,2199.13150142215,2268.324358111167,0.3984283837356833,184.79426787760391,0.10824846152154091,0.00017564877012009626
ENSMUSG00000025059,GK3,Q64516,0.3887522606244137,0.5854391072445618,0.4294548826796933,0.3423506352524542,0.3848148701902478,0.2597585464227289,2304.68216696246,2023.11802411043,2568.49170732569,2081.50354655045,2343.84566454375,2357.49789586324,2199.13150142215,2268.324358111167,0.3984283837356833,184.79426787760391,0.10824846152154091,0.00017564877012009626
ENSMUSG00000025240,SACM1L,Q9EP69,0.1257873005908349,0.2696115269355881,0.478297515931678,0.3144496467420365,-0.092175231622236,0.0960233099096867,1792.68187692711,1387.30831127307,1159.69368720701,835.710497413943,1114.33703987968,924.144718595045,990.668958157184,1172.077869921863,0.1986656780812647,327.23179804562926,0.19852876568133201,0.00016949870241514652
ENSMUSG00000025232,HEXA,P29416,-0.953029929094515,-0.8737286407297437,-1.089599789298152,-1.2321610288101932,-0.9729141372676112,-0.9665597568904866,1034.71048129454,963.394987203309,784.543032180369,671.63981446829,810.06219437196,897.092145652132,646.60347676265,829.7208759904642,-1.014665547015117,144.5553524394336,0.1269952231203761,-0.0012228998647332797
ENSMUSG00000025176,HOGA1,Q9DCU9,0.2502540110819577,0.3899030337193249,-0.0614421324925573,0.1583009423723184,0.1073498345180979,-0.025219004874023,2509.09988520029,2426.18061316437,3735.15030839387,3193.92249412703,2888.66306846638,2087.3242788,3864.15317572636,2957.7848319826144,0.13652444738751976,674.2850872977616,0.16959493302479986,4.615766701866779e-05
ENSMUSG00000025381,CNPY2,Q9QXT0,0.513172090516516,0.4542582367499956,0.4515392435791839,0.2533281992496236,0.3532653690685446,0.4739971877215951,1387.31232165078,1375.35206098174,2283.91010641315,1795.04359643691,2053.70604867694,1803.20078342414,1817.42074988992,1787.9922382105112,0.4165933878142431,328.7607365225155,0.09584201113838411,0.0002329950762153113
ENSMUSG00000055401,FBXO6,Q9QZN4,0.0484066700072781,0.384791547956055,0.4400250421722018,0.5555788965442674,0.2346253771341852,0.6229114926674384,689.407291931784,689.960677454878,834.886084278636,708.778505167543,756.298511328929,645.892490447893,638.954058626964,709.168231319518,0.381056504413571,67.97017484847183,0.21191560917535074,0.0005373287854484908
ENSMUSG00000054808,ACTN4,P57780,1.0384264681585895,0.9182566138171572,1.1545521703282648,0.952684565072118,1.2230888767554806,1.3233289418040557,4445.67694543003,3646.2107714846,2650.22882863775,2552.00651620897,2580.08354166493,2678.51653296904,2860.8123942112,3059.07650437236,1.1017229393226107,719.4016765275733,0.15906515118588044,0.0003601488677213238
ENSMUSG00000054676,C19orf12,Q8WUR0,-0.3098012805062493,-0.2478308380771375,-0.4956992037465473,-0.5804000055631134,-0.8423801354871694,-0.7500314895865128,2701.7773076606,2838.33094381768,3021.66501323893,3238.07781531431,3115.82260094122,3111.9306567253,3480.48512502598,3072.5842089605744,-0.5376904921611216,255.65409812820388,0.23556908143042932,-0.0001749961776777526
ENSMUSG00000055723,RRAS2,P62071,-1.2243305877672346,-0.9123512902470288,-0.8162647420574962,-1.202849223030617,-1.1460729188484169,-0.9105637218085348,346.809207634166,336.831757931423,235.427371661858,163.112464812467,237.337815606743,227.405079878076,192.376834484077,248.47150457268714,-1.035405413959888,69.09958825367427,0.1759135280052606,-0.00416709922427742
