ensembl_id,uniprot_id
ENSMUSG00000063065.14,Q63844
ENSMUSG00000063077.16,Q60575
ENSMUSG00000063087.16,
ENSMUSG00000063108.16,"['E0CYR0', 'G3XA08']"
ENSMUSG00000063130.5,Q9D6P8
ENSMUSG00000063142.16,"['A0A286YDM6', 'F6XW53', 'A0A286YCQ2', 'A0A286YDR7', 'J3QP84', 'A0A286YCF5', 'A0A286YCZ9', 'A0A286YE30', 'F6V0P5', 'F6ZSN2', 'A0A286YCI9', 'A0A286YCP1', 'A0A286YCW3', 'A0A286YD59', 'A0A286YDC1', 'A0A286YDU9', 'F6WSZ3', 'J3QN27', 'E3VRZ4', 'E9Q9P4', 'F7BHL0', 'J3QMT8', 'E3VRY6', 'A0A087WQE1', 'E3VRY9']"
ENSMUSG00000063145.11,Q9CZQ9
ENSMUSG00000063146.12,Q9Z0H8
ENSMUSG00000063160.13,O08919
ENSMUSG00000063171.6,
ENSMUSG00000063172.14,Q9D6H2
