ensembl_id,uniprot_id
ENSMUSG00000016255.6,A2AQ07
ENSMUSG00000016256.11,Q9WUU7
ENSMUSG00000016257.16,Q9CYY7
ENSMUSG00000016262.15,A7DTG3
ENSMUSG00000016283.14,"['Q6W9J6', 'Q6W9L1']"
ENSMUSG00000016308.14,Q9Z255
ENSMUSG00000016319.4,P51881
ENSMUSG00000016327.10,Q99ME6
ENSMUSG00000016344.15,Q9CR37
ENSMUSG00000016346.18,"['B7ZBV9', 'A0A0G2JGA6', 'B7ZBV3', 'F6UC55', 'B7ZBV8', 'B7ZBV7', 'B7ZBW1', 'B7ZBV6', 'A0A0G2JFQ2', 'B7ZBV4', 'B7ZBV5', 'B7ZBW2']"
ENSMUSG00000016349.11,P62631
ENSMUSG00000016356.19,Q923P0
