ensembl_id,uniprot_id
ENSMUSG00000004654.7,P32082
ENSMUSG00000004655.6,Q02013
ENSMUSG00000004661.16,Q9Z1N7
ENSMUSG00000004665.11,Q08093
ENSMUSG00000004667.19,Q80UW8
ENSMUSG00000004677.19,"['E9PZW8', 'A0A8V5KX73', 'A0A1D5RLW4', 'E9PWZ6']"
ENSMUSG00000004698.12,"['A0A1B0GSQ5', 'A0A1B0GSE4', 'A0A1B0GT67', 'A0A1B0GR65', 'A0A1B0GRH0', 'A0A668KL98', 'A0A1B0GS15', 'A0A1B0GSB5', 'A0A0R4J1F3', 'A0A668KM95', 'A0A1B0GSN4']"
ENSMUSG00000004707.15,Q01965
ENSMUSG00000004709.15,Q07763
ENSMUSG00000004730.16,Q61549
ENSMUSG00000004748.6,Q9CRB8
ENSMUSG00000004768.15,"['Q9D4I9', 'M0QWL7']"
