ensembl_id,uniprot_id
ENSMUSG00000024902.6,Q9CQF0
ENSMUSG00000024905.16,Q9WTJ6
ENSMUSG00000024906.11,Q91ZJ0
ENSMUSG00000024907.8,P47212
ENSMUSG00000024908.16,Q922D4
ENSMUSG00000024909.16,Q9WVJ9
ENSMUSG00000024910.6,P56203
ENSMUSG00000024911.8,Q9JI19
ENSMUSG00000024913.17,Q91VN0
ENSMUSG00000024914.17,Q9D6N5
ENSMUSG00000024921.18,"['H3BLH0', 'E9QAB8', 'H3BJK2', 'A0A140LI12', 'F2Z4A9', 'A0A140LHL7', 'A0A140LHJ8', 'A0A140LIK7', 'A0A140LI08', 'H3BKN5', 'H3BKD2', 'A0A140LHE2', 'A0A140LHF4', 'A0A140LHP6', 'A0A140LI14', 'A0A140LJD7', 'A0A140LHZ8', 'A0A140LJK1', 'H3BJI1', 'A0A140LIM0', 'A0A140LIQ9', 'A0A140LIV3', 'H3BKJ3', 'H3BJM2', 'H3BLI4']"
