ensembl_id,uniprot_id
ENSMUSG00000022774.14,Q9CQ49
ENSMUSG00000022779.17,Q9Z321
ENSMUSG00000022781.9,Q8CIN4
ENSMUSG00000022787.11,Q9DB94
ENSMUSG00000022788.17,Q91ZT5
ENSMUSG00000022789.16,Q8K1M6
ENSMUSG00000022790.15,P0C673
ENSMUSG00000022791.20,"['D3Z3U5', 'E9Q5M1', 'A0A5F8MPC4', 'D3Z3U6', 'G3X9X7', 'A0A5F8MQ87', 'A0A5F8MPM0', 'A0A0R4J1L0', 'A0A1Y7VLM9', 'A0A5F8MPL4', 'E9QN60', 'A0A5F8MPJ9', 'E9PWA3', 'A0A5F8MPI0', 'E9QN61', 'A0A1Y7VJA6', 'A0A494BAM7', 'A0A5F8MPJ6', 'D3Z3U7']"
ENSMUSG00000022792.17,Q8BYL4
ENSMUSG00000022793.18,Q9JJ04
ENSMUSG00000022797.17,Q62351
