ensembl_id,uniprot_id
ENSMUSG00000007458.15,P24668
ENSMUSG00000007476.19,Q80WG5
ENSMUSG00000007480.7,P41149
ENSMUSG00000007564.16,Q76MZ3
ENSMUSG00000007570.17,"['A0A3B2W3J1', 'B8JJD5', 'B8JJD8', 'B8JJD6', 'F7DAL6', 'B8JJD3', 'B8JJD7', 'B8JJD1', 'B8JJD2']"
ENSMUSG00000007589.10,"['A0A2I3BRL3', 'A0A2I3BRW2', 'A0A2I3BPS4', 'A0A2I3BRI7', 'Q8K1K3']"
ENSMUSG00000007591.16,Q9D411
ENSMUSG00000007594.11,Q80WM4
ENSMUSG00000007603.10,A0A0R4IZY9
ENSMUSG00000007610.16,Q923K4
ENSMUSG00000007613.16,Q64729
ENSMUSG00000007617.19,Q9Z2Y3
