ensembl_id,uniprot_id
ENSMUSG00000031388.15,Q9QY36
ENSMUSG00000031389.18,"['D6RFT8', 'B1AUY1', 'F6SL55', 'E9Q4R3', 'F6YWG4', 'E9PYS6', 'Q3TE27', 'B1AUY3', 'B1AUX5', 'B1AUY2', 'Q80Z68']"
ENSMUSG00000031391.19,"['A2AFG8', 'A2AFG7', 'Q6PGJ3', 'F6UIL7', 'B7ZCD3', 'F7A5H7']"
ENSMUSG00000031392.19,Q62406
ENSMUSG00000031393.17,Q9Z2D6
ENSMUSG00000031398.14,P70208
ENSMUSG00000031399.16,Q9D8T0
ENSMUSG00000031400.11,Q00612
ENSMUSG00000031402.13,P70290
ENSMUSG00000031403.15,Q9ESX5
ENSMUSG00000031422.17,Q9R0Q4
