ensembl_id,uniprot_id
ENSMUSG00000052371.6,
ENSMUSG00000052373.15,"['B1AQF7', 'Q6XE40']"
ENSMUSG00000052374.17,Q9JI91
ENSMUSG00000052384.15,Q8BMT4
ENSMUSG00000052387.17,"['F7CJ77', 'J9T120', 'J9S2Z5', 'J9T153', 'E9PUC8', 'J9S314', 'Q8BIH6', 'J9SVL3', 'Q5F4T0', 'Q5F4S8', 'B2RUS0', 'Q5F4S9', 'Q5F4S6', 'Q5F4S7', 'A0A494BA79', 'A0A494BAQ5', 'J9SUB2', 'D3Z539']"
ENSMUSG00000052392.6,Q8BWN8
ENSMUSG00000052395.18,Q8C3B8
ENSMUSG00000052396.8,Q80W94
ENSMUSG00000052397.9,P26040
ENSMUSG00000052403.12,
ENSMUSG00000052406.15,Q6PAQ4
