ensembl_id,uniprot_id
ENSMUSG00000052738.15,Q9WUM5
ENSMUSG00000052748.15,Q9DBQ9
ENSMUSG00000052749.11,"['Q8BY96', 'D3YVI7', 'E9PVL6']"
ENSMUSG00000052751.17,Q5U4E2
ENSMUSG00000052752.16,"['F8WJF7', 'H3BKZ1', 'H3BJ15', 'H3BKC9', 'H3BLM6', 'H3BKN1', 'H3BJU4', 'H3BKC7', 'H3BJF9', 'H3BK82', 'H3BLQ3', 'H3BJD9', 'Q8C2K8']"
ENSMUSG00000052760.17,"['Q8C9T1', 'Q3UTB2']"
ENSMUSG00000052763.8,G3X8R7
ENSMUSG00000052769.10,
ENSMUSG00000052776.11,P11928
ENSMUSG00000052783.17,O70291
ENSMUSG00000052794.14,Q922C1
