ensembl_id,uniprot_id
ENSMUSG00000071516.3,"['C0HKE5', 'C0HKE7', 'C0HKE9', 'C0HKE3', 'C0HKE4', 'C0HKE2', 'C0HKE6', 'C0HKE8', 'C0HKE1']"
ENSMUSG00000071528.5,Q78IK2
ENSMUSG00000071531.4,"['A0A2I3BQP8', 'D3Z1D7', 'A0A2I3BRN2']"
ENSMUSG00000071532.7,
ENSMUSG00000071533.12,Q6P8I4
ENSMUSG00000071537.7,"['A0A0J9YVB2', 'A0A0J9YTT0', 'G5E8L6']"
ENSMUSG00000071540.5,D3Z1D3
ENSMUSG00000071547.5,"['A0A2I3BR81', 'A0A2I3BPH8', 'A0A2I3BQR1', 'A0A2I3BRL0', 'Q91X76']"
ENSMUSG00000071550.15,E9Q5M6
ENSMUSG00000071551.14,"['G3X9Y6', 'A0A1Y7VK17']"
ENSMUSG00000071552.6,A0A0B4J1G6
