ensembl_id,uniprot_id
ENSMUSG00000020973.8,Q8BPI1
ENSMUSG00000020974.7,O54956
ENSMUSG00000020978.11,Q4G5Y1
ENSMUSG00000020982.10,Q8CCP0
ENSMUSG00000020986.14,Q01405
ENSMUSG00000020988.10,Q91YP0
ENSMUSG00000020990.6,Q8CEQ0
ENSMUSG00000020993.10,Q9D289
ENSMUSG00000020994.6,"['Q3TUQ5', 'A0A1W2P6S1']"
ENSMUSG00000021000.18,"['A0A1W2P711', 'H3BJ35', 'H3BJS5', 'H3BJ84', 'H3BKL6', 'H3BL19', 'H3BL86', 'H3BJI6', 'H3BJY7', 'H3BKH2', 'H3BJ71', 'H3BJS0', 'H3BK48', 'H3BK44', 'E9Q3S2', 'E9PY90']"
ENSMUSG00000021003.11,P54818
