ensembl_id,uniprot_id
ENSMUSG00000019813.17,"['A0A0R4J2C9', 'G5E828', 'B2RR53', 'A0A087WRG5', 'A0A087WSK9']"
ENSMUSG00000019814.6,Q6NSQ7
ENSMUSG00000019817.19,"['Q9JLQ4', 'B0QZX5', 'A0A0A6YWE3', 'B0QZX4', 'Q3UQW2']"
ENSMUSG00000019818.16,Q9R0L9
ENSMUSG00000019820.12,"['A0A1W2P6H3', 'A0A1W2P7C0', 'A0A1W2P6L4', 'Q61636', 'A0A1W2P8A5', 'A0A1W2P8G5', 'E9Q6R7']"
ENSMUSG00000019822.13,O70572
ENSMUSG00000019823.18,Q8VDP3
ENSMUSG00000019826.12,Q80X44
ENSMUSG00000019828.14,P97772
ENSMUSG00000019831.15,Q8R5H6
ENSMUSG00000019832.6,Q9CZE3
ENSMUSG00000019837.9,Q9D8P7
