ensembl_id,uniprot_id
ENSMUSG00000056214.10,Q9JK84
ENSMUSG00000056215.15,Q9D5S7
ENSMUSG00000056216.10,P53568
ENSMUSG00000056220.15,P47713
ENSMUSG00000056222.16,"['Q6DIC9', 'Q8BKQ3', 'A0A286YCI6', 'A0A087WPP6', 'Q8BM07']"
ENSMUSG00000056228.11,"['G3X975', 'A0A1B0GSP2', 'A0A1B0GR87', 'A0A1B0GRF1', 'A0A1B0GSW7']"
ENSMUSG00000056234.16,"['E9Q2H3', 'E9Q0D2', 'Q5U4H9', 'E9PVM8', 'E9PZ59', 'A0A2I3BRC7', 'E9Q8Q4', 'E9PWU9']"
ENSMUSG00000056258.10,Q8K3F6
ENSMUSG00000056260.16,Q8CDD9
ENSMUSG00000056267.15,Q6IQY5
ENSMUSG00000056268.16,Q3U1T9
