ensembl_id,uniprot_id
ENSMUSG00000004096.10,Q9JHS9
ENSMUSG00000004098.8,Q9JLI2
ENSMUSG00000004099.17,P13864
ENSMUSG00000004100.13,Q91YU8
ENSMUSG00000004105.9,Q9R045
ENSMUSG00000004110.18,"['E9QK20', 'A0A087WS83', 'A0A571BF18', 'A0A1D5RLU3', 'A0A2I3BPS0']"
ENSMUSG00000004113.20,O55017
ENSMUSG00000004127.13,"['A0A0R4J205', 'E9Q663', 'E0CY61', 'E0CZ56']"
ENSMUSG00000004151.18,P41164
ENSMUSG00000004187.12,"['A0A2R8W6X1', 'G3X8Q6', 'A0A2R8VHZ2']"
ENSMUSG00000004207.15,Q61207
ENSMUSG00000004221.17,O88522
