ensembl_id,uniprot_id
ENSMUSG00000002455.15,Q91YR7
ENSMUSG00000002458.14,Q9CX84
ENSMUSG00000002475.17,Q91ZH7
ENSMUSG00000002477.6,P62315
ENSMUSG00000002486.16,Q3TVW5
ENSMUSG00000002489.17,"['G3UWG2', 'J3QMH1', 'J3QQ55', 'Q6P1D6', 'E9Q1R7']"
ENSMUSG00000002496.11,"['Q3UHB2', 'Q7TT21', 'A0A2I3BRA1', 'A0A2I3BPR7', 'A0A2I3BPE9', 'Q3TQ10', 'A0A2I3BRT5', 'A0A2I3BPP1']"
ENSMUSG00000002500.16,E9PWZ3
ENSMUSG00000002504.16,"['Q6NS54', 'A0A0R4IZX2', 'A0A3Q4EBU8', 'A0A3Q4EHM9', 'A0A0R4J006']"
ENSMUSG00000002524.18,Q3UEB3
ENSMUSG00000002546.18,Q921M4
ENSMUSG00000002550.17,"['A2AN37', 'F7CBX2']"
