ensembl_id,uniprot_id
ENSMUSG00000023367.15,Q9DCS1
ENSMUSG00000023393.16,Q8VCL5
ENSMUSG00000023411.13,Q8K120
ENSMUSG00000023439.12,Q61011
ENSMUSG00000023452.20,Q8BSF4
ENSMUSG00000023456.17,P17751
ENSMUSG00000023460.15,P35283
ENSMUSG00000023467.19,P46686
ENSMUSG00000023473.14,Q91ZI0
ENSMUSG00000023484.15,"['G5E846', 'G3X981', 'A0A2R8VKR9', 'A0A2R8W6R6']"
ENSMUSG00000023495.14,"['A0A1L1SSM1', 'A0A1L1SQB0', 'A0A087WR61', 'A0A087WQ06', 'A0A1L1SQL8', 'A0A087WRH3', 'A0A087WRJ6', 'A0A1L1SQ99', 'A0A1L1SUS5', 'A0A087WPG7', 'A0A087WSI1', 'A0A1L1SRP9', 'A0A087WP16', 'A0A0R4J044']"
