ensembl_id,uniprot_id
ENSMUSG00000036545.10,Q8C9W3
ENSMUSG00000036550.17,Q6ZQ08
ENSMUSG00000036552.20,"['A0A2I3BQD2', 'A0A2I3BQP4', 'A0A2I3BPT5', 'A0A2I3BQQ1', 'A0A2I3BPX2', 'A0A2I3BQS2', 'Q8C9C8', 'E9Q048']"
ENSMUSG00000036553.17,"['F6UWL1', 'F6QD49', 'F6U4F1', 'G3X9F6']"
ENSMUSG00000036555.15,Q6PCQ0
ENSMUSG00000036560.15,Q8K1S1
ENSMUSG00000036561.10,"['A0A2I3BRV0', 'Q8C400', 'A0A5F8MQ25', 'G3X9K4']"
ENSMUSG00000036564.18,Q8BTG7
ENSMUSG00000036565.8,Q6P5F7
ENSMUSG00000036568.8,Q8CHH5
ENSMUSG00000036570.15,Q9Z239
