ensembl_id,uniprot_id
ENSMUSG00000001864.14,Q9EQX4
ENSMUSG00000001865.3,P15089
ENSMUSG00000001870.17,Q8CG19
ENSMUSG00000001891.17,Q91ZJ5
ENSMUSG00000001909.17,"['H3BKS8', 'E9PWD4', 'A0A0R4IZW7', 'G3V019', 'H3BL74', 'H3BKV3', 'D6RFC0', 'D6RG86', 'H3BK68', 'H3BL70', 'H3BKB8', 'D3Z413']"
ENSMUSG00000001910.6,Q7TSZ8
ENSMUSG00000001911.17,P70257
ENSMUSG00000001918.18,Q9ESU7
ENSMUSG00000001924.16,Q02053
ENSMUSG00000001930.18,"['E9QPU1', 'S4R195', 'Q3TPE1', 'Q3TD35']"
ENSMUSG00000001942.9,P70665
ENSMUSG00000001943.9,Q9Z109
