ensembl_id,uniprot_id
ENSMUSG00000033379.14,Q91V37
ENSMUSG00000033382.16,"['A0A286YCX6', 'A0A286YCE0', 'E9PY51']"
ENSMUSG00000033386.11,"['A0A0G2JFP4', 'A0A0G2JGF6', 'A0A0G2JEJ3']"
ENSMUSG00000033389.17,Q5SSM3
ENSMUSG00000033392.17,"['A0A1L1SRY3', 'A0A1L1ST22', 'F7DCH5', 'Q8BSE7', 'Q08EB5', 'E9Q8N5', 'Q08EB6']"
ENSMUSG00000033396.14,Q3UHA3
ENSMUSG00000033400.15,"['A0A0G2JGI9', 'F7CSZ6', 'E0CX86', 'F6XXE6', 'E0CYU6', 'F8VPN4']"
ENSMUSG00000033405.5,Q8BG93
ENSMUSG00000033411.17,Q8BG15
ENSMUSG00000033416.16,Q8BZI6
ENSMUSG00000033417.17,Q8R0X2
