ensembl_id,uniprot_id
ENSMUSG00000034617.8,"['A0A0R4J0G9', 'A0A1Y7VM78', 'A0A1Y7VKD9', 'A0A1Y7VKC5', 'A0A1Y7VJV6', 'A0A1Y7VLV0']"
ENSMUSG00000034620.18,Q8VDX6
ENSMUSG00000034621.15,A2A6A1
ENSMUSG00000034634.8,P35459
ENSMUSG00000034636.10,Q3UFS0
ENSMUSG00000034639.8,Q80UJ9
ENSMUSG00000034640.10,Q8C1B2
ENSMUSG00000034641.3,Q8VCH2
ENSMUSG00000034645.15,"['F8WHU3', 'A0A1Y7VNL1', 'A0A217FL76']"
ENSMUSG00000034647.16,"['A0A3B2W7I2', 'A0A3B2WAN9', 'A0A3B2W3X3', 'A0A3B2W470', 'Q3U569', 'G5E893']"
ENSMUSG00000034648.10,Q61809
