ensembl_id,uniprot_id
ENSMUSG00000040413.16,"['D3YUN5', 'A8C1R4']"
ENSMUSG00000040414.9,Q8R0Z5
ENSMUSG00000040415.16,Q80V91
ENSMUSG00000040420.16,"['F6RSC2', 'A0A2I3BPS8', 'Q8BLB5', 'E9Q941', 'E9Q9Q6']"
ENSMUSG00000040423.12,Q4VGL6
ENSMUSG00000040424.16,Q3V016
ENSMUSG00000040428.20,"['D3Z3Y7', 'A0A1B0GT85', 'A0A1B0GS55', 'A0A1B0GRV6', 'A0A1B0GR22', 'A0A1B0GSM9', 'A0A1B0GSC3']"
ENSMUSG00000040429.7,Q8CHZ9
ENSMUSG00000040430.19,Q8K4R4
ENSMUSG00000040432.6,Q9JJL9
ENSMUSG00000040433.17,"['D3Z1Y7', 'F6Z595', 'Q8BW24', 'Q3LR78']"
