ensembl_id,uniprot_id
ENSMUSG00000024962.14,P49766
ENSMUSG00000024963.13,Q9D844
ENSMUSG00000024965.10,Q8K1B8
ENSMUSG00000024966.10,Q60864
ENSMUSG00000024968.15,Q8C796
ENSMUSG00000024969.16,"['E9QMP6', 'F7CVZ7', 'F6ZS70', 'E9Q9N6', 'E9PYX3', 'A0A0R4J0B1', 'A0A0R4J227', 'Q3T9A3', 'F6ZEX4', 'F7CRG8', 'F6Z4Q6', 'F7A3Q3', 'E9PZ55', 'F6UY70', 'E9Q2G8', 'E9Q8H5', 'E9Q2J6']"
ENSMUSG00000024970.6,Q05AH6
ENSMUSG00000024972.17,Q91VD1
ENSMUSG00000024974.11,Q9CW03
ENSMUSG00000024975.14,Q61823
ENSMUSG00000024976.15,O88520
