ensembl_id,uniprot_id
ENSMUSG00000021820.19,Q923T9
ENSMUSG00000021822.4,P06869
ENSMUSG00000021823.11,Q64727
ENSMUSG00000021824.14,Q9JKC8
ENSMUSG00000021830.15,Q7TN22
ENSMUSG00000021831.10,Q8R180
ENSMUSG00000021832.9,P62334
ENSMUSG00000021835.16,P21275
ENSMUSG00000021838.18,Q8CBY1
ENSMUSG00000021840.18,Q8BH93
ENSMUSG00000021843.18,"['A0A087WQG4', 'A0A087WQF8', 'A0A087WS04', 'A0A087WS23', 'A0A087WNW3', 'A0A087WS29', 'A0A087WQI3', 'A0A087WPX0', 'A0A087WQQ5', 'A0A087WP85', 'A0A087WP14', 'A0A087WPW5', 'A0A087WP48', 'A0A087WQ25', 'A0A087WRS1', 'A0A087WQD0', 'F8VQC7', 'A0A087WR91', 'A0A087WPY8']"
