ensembl_id,uniprot_id
ENSMUSG00000040661.7,"['E9QKL0', 'A0A087WP96', 'A0A087WPJ6']"
ENSMUSG00000040663.10,Q9QZM3
ENSMUSG00000040666.20,Q9WUZ7
ENSMUSG00000040667.12,Q8CEC0
ENSMUSG00000040669.15,Q64028
ENSMUSG00000040675.18,Q3V3R1
ENSMUSG00000040680.10,Q8K1S7
ENSMUSG00000040681.17,P18608
ENSMUSG00000040687.17,"['A6PWP8', 'A2AGQ6', 'A2AGQ5', 'A2AGQ3', 'A2AGR1', 'A2AGQ2', 'A2AGQ8', 'A2AGQ7', 'A2AGQ9', 'A2AGQ4', 'A0A0R4J1F4', 'A2AGR0', 'E9QN47', 'A6PWP7']"
ENSMUSG00000040688.17,Q8C4J7
ENSMUSG00000040690.16,Q8BLX7
