ensembl_id,uniprot_id
ENSMUSG00000043518.8,Q9QVY8
ENSMUSG00000043531.17,"['E9QQ02', 'A0A1B0GRB7', 'E9PYT6', 'E9QQ63', 'A0A1B0GRC4', 'A0A1B0GRN1', 'A0A1B0GT94', 'E9Q203']"
ENSMUSG00000043535.14,A2AKX3
ENSMUSG00000043541.17,"['A0A0N4SUQ9', 'A0A0R4J1G3', 'A0A0R4J0S9']"
ENSMUSG00000043542.13,Q8BJH1
ENSMUSG00000043556.11,Q5BJ29
ENSMUSG00000043557.17,Q0PMG2
ENSMUSG00000043572.8,Q8CFI5
ENSMUSG00000043587.16,Q8BHA9
ENSMUSG00000043592.16,"['F7BJ90', 'F7CT06', 'E0CXQ5', 'F6TUJ1', 'F6TRC7', 'E9QLC2']"
ENSMUSG00000043602.6,Q8BLB0
