ensembl_id,uniprot_id
ENSMUSG00000026073.14,P27931
ENSMUSG00000026074.16,"['A0A0A6YVZ8', 'E9PVG7', 'A0A0A6YVR7', 'A0A0A6YXE5', 'A0A0A6YWJ2', 'F8VPL5', 'A0A0A6YW53', 'A0A0A6YWM8', 'A0A0A6YWR8', 'B2RUE8', 'B7ZNR9']"
ENSMUSG00000026077.16,"['G3X9B7', 'G3UYV8']"
ENSMUSG00000026078.11,Q8BVF2
ENSMUSG00000026080.15,Q6PGK7
ENSMUSG00000026082.12,Q920Q2
ENSMUSG00000026083.13,Q05D44
ENSMUSG00000026087.12,Q9D7N6
ENSMUSG00000026088.16,Q8VDV8
ENSMUSG00000026090.17,"['F7B0R9', 'E0CXB3', 'E9Q3M9']"
ENSMUSG00000026094.15,Q8BG48
