ensembl_id,uniprot_id
ENSMUSG00000052482.7,
ENSMUSG00000052485.8,Q4KL18
ENSMUSG00000052488.8,"['G5E8I8', 'A0A1D5RL92']"
ENSMUSG00000052496.6,F8VQF3
ENSMUSG00000052504.8,"['Q8BRB1', 'A0A338P7J9', 'B7ZNN5', 'A0A338P6A7', 'Q8C9K6']"
ENSMUSG00000052512.18,"['V9GXT5', 'V9GWV3', 'V9GXT3', 'A0A5F8MPR0', 'E9Q842', 'V9GX91']"
ENSMUSG00000052516.20,"['A0A2I3BR72', 'A0A338P6W2', 'A0A338P6R3', 'A0A338P7C8', 'E9PYK2', 'A0A338P6D2', 'A0A2I3BQB9', 'E9Q6A0', 'Q19AB2']"
ENSMUSG00000052520.8,O54749
ENSMUSG00000052525.15,Q5IBH7
ENSMUSG00000052533.15,Q6ZQH8
ENSMUSG00000052534.16,P41778
