ensembl_id,uniprot_id
ENSMUSG00000031425.16,P60202
ENSMUSG00000031428.12,Q8VD24
ENSMUSG00000031429.15,Q9Z2X2
ENSMUSG00000031431.14,Q9Z2S7
ENSMUSG00000031432.4,Q9D7G0
ENSMUSG00000031433.16,Q8JZV4
ENSMUSG00000031434.16,Q8BMD7
ENSMUSG00000031438.12,Q9D304
ENSMUSG00000031441.16,P98197
ENSMUSG00000031442.22,"['D3Z3S7', 'A0A571BEU5', 'F6UKC6', 'F7BZ65', 'F6ZFQ8', 'F6WPM5', 'D3YUF3', 'G3UYM8', 'D3YUF4', 'G3UXP9', 'G3UX72', 'F6VR53', 'E9Q863', 'E9PXE1', 'E9QPM7', 'E9PY13', 'E9PY12', 'E9PXE2']"
ENSMUSG00000031443.8,P70375
