ensembl_id,uniprot_id
ENSMUSG00000029188.15,Q9DBP0
ENSMUSG00000029189.11,Q80TS8
ENSMUSG00000029190.20,Q80U59
ENSMUSG00000029191.17,"['G3UWX1', 'A0A0N4SVN6', 'A0A0N5E9G7', 'G3X8Z6', 'Q5U4B1']"
ENSMUSG00000029192.18,"['G3UVU5', 'D3Z2A1', 'G3UZ97', 'D6RHS3', 'D3YVW3', 'D3Z400', 'D3YWM7', 'D3Z5Y9', 'G3UWY9', 'E9Q2V7', 'E9PZY7', 'E9PYB1', 'E9Q8K4']"
ENSMUSG00000029193.8,O08786
ENSMUSG00000029195.11,Q99N32
ENSMUSG00000029196.10,"['D3Z4Z0', 'D3YW26']"
ENSMUSG00000029198.4,Q99LP6
ENSMUSG00000029199.12,Q99M04
ENSMUSG00000029201.15,O70475
