ensembl_id,uniprot_id
ENSMUSG00000061665.8,Q9JLQ0
ENSMUSG00000061666.7,Q9CRY7
ENSMUSG00000061669.7,
ENSMUSG00000061684.7,
ENSMUSG00000061689.16,B1AZP2
ENSMUSG00000061702.11,Q8C581
ENSMUSG00000061718.13,Q60829
ENSMUSG00000061723.19,"['Z4YNB2', 'A2A6J2', 'Z4YKE7', 'Z4YKH8', 'F6RL36', 'J3QP61', 'A0A0R4J1B0', 'Z4YKD9', 'A2A6H6', 'Z4YKG3', 'A0A0R4J1B1', 'A2A6I3', 'A2A6I5', 'Z4YJU0', 'A0A0R4J1A8', 'A2A6I0', 'A2A6I8', 'Z4YKF8', 'A2A6J0', 'A2A6J1', 'Z4YKG8']"
ENSMUSG00000061724.6,
ENSMUSG00000061728.6,
