ensembl_id,uniprot_id
ENSMUSG00000029784.14,"['D3Z3E1', 'Q9DAA0', 'Q9D9Y8']"
ENSMUSG00000029787.11,Q80U56
ENSMUSG00000029790.17,Q99NF3
ENSMUSG00000029797.14,Q8CG65
ENSMUSG00000029798.12,F2Z461
ENSMUSG00000029802.14,"['A0A0R4J0B6', 'S4R2E1', 'D3YVG8', 'D3YZX5', 'A0A0N4SWA2', 'S4R2M4', 'D3Z150']"
ENSMUSG00000029804.18,"['D3Z2S3', 'D3Z3U0', 'A0A0N4SVW7', 'A0A0N4SW02', 'D3Z6D4', 'G5E876', 'A6H6S0']"
ENSMUSG00000029810.16,Q9R1Q6
ENSMUSG00000029811.15,"['E9PYN9', 'A0A0N4SUP5']"
ENSMUSG00000029815.13,Q9CWV0
ENSMUSG00000029816.11,Q99P91
