ensembl_id,uniprot_id
ENSMUSG00000058297.17,Q9ER58
ENSMUSG00000058298.11,Q2KHI9
ENSMUSG00000058301.9,Q9EPU0
ENSMUSG00000058317.13,Q91W82
ENSMUSG00000058318.17,"['A0A498WGG5', 'A0A1C7ZN07', 'A0A1C7ZN08', 'F6TL54', 'E0CZ79', 'E0CYN5', 'E0CZ36', 'F6U6L3', 'E9QKW9', 'F6TKP4', 'E9PV92', 'F6URE6', 'A2AHG3', 'A2AHG4', 'D3Z764']"
ENSMUSG00000058325.7,Q8BUR4
ENSMUSG00000058331.16,"['F7A6M1', 'Q7TMC9']"
ENSMUSG00000058351.12,Q8C1Q6
ENSMUSG00000058355.9,P61222
ENSMUSG00000058385.9,Q6ZWY9
ENSMUSG00000058388.15,Q9QZ09
