ensembl_id,uniprot_id
ENSMUSG00000064294.13,G3X982
ENSMUSG00000064302.15,"['A0A0N4SVH2', 'A0A087WRU7', 'A0A0N4SUT7', 'A0A0A6YWK1', 'A0A0A6YXZ1', 'E9QNY9', 'A0A087WNW8', 'A0A087WP42', 'J3QP81', 'A0A087WRE8', 'A0A087WQ95', 'A0A087WRK0', 'A0A087WQF1', 'A0A087WS18', 'E9Q6L0', 'E9QKH0', 'A0A087WQ31']"
ENSMUSG00000064307.14,Q9DAK8
ENSMUSG00000064317.6,
ENSMUSG00000064325.5,Q7TN16
ENSMUSG00000064326.14,O54926
ENSMUSG00000064337.1,
ENSMUSG00000064339.1,
ENSMUSG00000064340.1,
ENSMUSG00000064341.1,P03888
ENSMUSG00000064342.1,
