ensembl_id,uniprot_id
ENSMUSG00000021375.12,"['F8VQ75', 'A0A286YDX6', 'A0A571BEU9', 'A0A286YCH2', 'A0A286YDR8', 'A0A286YDD6', 'A0A286YEC5']"
ENSMUSG00000021376.12,"['D3Z217', 'D3YWK6', 'D3Z380', 'A0A0R4J018', 'A0A286YCA5', 'D3Z0R1', 'D6RIK3']"
ENSMUSG00000021377.16,Q7TNV0
ENSMUSG00000021379.3,P41139
ENSMUSG00000021381.5,Q9ER42
ENSMUSG00000021384.15,Q9D176
ENSMUSG00000021385.11,Q6P1C1
ENSMUSG00000021388.15,Q99MQ4
ENSMUSG00000021390.7,Q62000
ENSMUSG00000021391.11,Q9CZ92
ENSMUSG00000021392.9,Q3UHX0
