ensembl_id,uniprot_id
ENSMUSG00000069237.9,Q3URQ4
ENSMUSG00000069255.14,Q99N11
ENSMUSG00000069265.3,P68433
ENSMUSG00000069266.6,P62806
ENSMUSG00000069270.7,"['C0HKE5', 'C0HKE7', 'C0HKE9', 'C0HKE3', 'C0HKE4', 'C0HKE2', 'C0HKE6', 'C0HKE8', 'C0HKE1']"
ENSMUSG00000069272.7,"['C0HKE5', 'C0HKE7', 'C0HKE9', 'C0HKE3', 'C0HKE4', 'C0HKE2', 'C0HKE6', 'C0HKE8', 'C0HKE1']"
ENSMUSG00000069273.3,P84228
ENSMUSG00000069289.3,Q8R273
ENSMUSG00000069294.3,Q8R265
ENSMUSG00000069300.4,P10853
ENSMUSG00000069302.6,Q8CGP6
