ensembl_id,uniprot_id
ENSMUSG00000055305.16,Q61116
ENSMUSG00000055312.3,Q9DCP4
ENSMUSG00000055313.16,"['E9Q2C6', 'E9Q492']"
ENSMUSG00000055319.9,"['A0A0U1RP39', 'A0A0U1RPB3', 'G3X928']"
ENSMUSG00000055320.19,"['F6TBI7', 'F7B3M8', 'F6ZIM6', 'E9Q387', 'F6QIG2', 'Q3USK5', 'E9PVJ5', 'F6QH05', 'E9QAK6', 'E9PZ73', 'E9PVS2', 'Q3UFP5', 'Q6PAQ8']"
ENSMUSG00000055322.17,E9Q0S6
ENSMUSG00000055323.7,
ENSMUSG00000055333.15,Q5F226
ENSMUSG00000055334.5,Q80W37
ENSMUSG00000055341.11,"['L7N1X4', 'A0A286YD33', 'A0A286YD11']"
ENSMUSG00000055368.15,O55192
