ensembl_id,uniprot_id
ENSMUSG00000029074.15,"['V9GXB7', 'V9GXT8', 'B1ASM0']"
ENSMUSG00000029075.7,B1ASL3
ENSMUSG00000029076.15,Q61112
ENSMUSG00000029082.18,"['A0A0R4J190', 'A0A0G2JG11']"
ENSMUSG00000029084.6,P56528
ENSMUSG00000029086.16,"['G5E8G5', 'A0A0G2JE50', 'A0A0R4J0B0', 'A0A0G2JDH9', 'G3X9J8', 'Q8R056', 'Q8CDK8', 'A0A0G2JDS7', 'A0A0G2JE90', 'A0A0G2JG30']"
ENSMUSG00000029088.17,Q6PHZ8
ENSMUSG00000029089.9,Q9D3X5
ENSMUSG00000029090.13,Q7TT36
ENSMUSG00000029092.10,
ENSMUSG00000029093.15,Q9EPR5
