ensembl_id,uniprot_id
ENSMUSG00000018486.3,O35468
ENSMUSG00000018500.3,Q60614
ENSMUSG00000018501.18,"['Q5RIM6', 'F6TRR6', 'E0CYX5', 'F7C134', 'E9Q9Y2', 'F6U338', 'F6TWR1', 'Q8CHB6', 'Q5RIN0', 'F6SFD2', 'Q3UV08', 'Q8BK32', 'E9Q2B2', 'E9Q8K6']"
ENSMUSG00000018507.17,Q9WTR1
ENSMUSG00000018509.9,Q9CXS4
ENSMUSG00000018537.17,P23798
ENSMUSG00000018541.11,Q9DBF7
ENSMUSG00000018543.9,Q9DAQ5
ENSMUSG00000018547.9,Q80XI4
ENSMUSG00000018548.16,Q6PCX9
ENSMUSG00000018554.14,"['J3QNB9', 'A0A0A0MQD2', 'B2RUF0']"
ENSMUSG00000018559.17,Q3TP92
