ensembl_id,uniprot_id
ENSMUSG00000074863.6,"['A0A1Y7VL79', 'A0A1Y7VLH6', 'A0A1Y7VJU7', 'A0A1Y7VLS7', 'A0A1Y7VLW9', 'A0A1Y7VJF8', 'A0A1Y7VIS4', 'A0A1Y7VIZ1']"
ENSMUSG00000074865.13,"['K7N6H3', 'A0A1Y7VMB8', 'A0A1Y7VM11', 'A0A1Y7VJM8', 'A0A1Y7VN06', 'A0A1Y7VKB4']"
ENSMUSG00000074867.5,"['A0A1Y7VJ92', 'B8JJZ4']"
ENSMUSG00000074874.11,P12400
ENSMUSG00000074882.4,K7N6C2
ENSMUSG00000074884.13,P84102
ENSMUSG00000074886.12,O70293
ENSMUSG00000074890.5,Q8BYR1
ENSMUSG00000074892.10,Q9JI67
ENSMUSG00000074896.4,Q64345
