ensembl_id,uniprot_id
ENSMUSG00000037640.16,"['D6RFC9', 'D3YUF8', 'Q8K0D9']"
ENSMUSG00000037643.15,Q62074
ENSMUSG00000037646.11,Q80TY5
ENSMUSG00000037649.11,"['Q31621', 'A0A494BAR2']"
ENSMUSG00000037652.16,Q8CHP6
ENSMUSG00000037656.10,Q80UP8
ENSMUSG00000037661.15,Q3U3F9
ENSMUSG00000037664.14,P49919
ENSMUSG00000037669.16,"['A0A1W2P820', 'A0A1W2P7T7', 'A0A1W2P6L7', 'A0A1W2P6J8', 'A0A1W2P7C8', 'A0A0F6AIX6', 'A0A0F6AIX5', 'A0A1W2P856', 'A0A1W2P818', 'A0A1W2P6H0']"
ENSMUSG00000037674.16,"['Q3TDE2', 'F8VPJ6']"
ENSMUSG00000037679.10,"['E9QLA5', 'A0A1Y7VLQ6', 'A0A1Y7VM80']"
