ensembl_id,uniprot_id
ENSMUSG00000028647.14,Q9EQS3
ENSMUSG00000028648.14,Q99LY9
ENSMUSG00000028649.23,"['F6Q750', 'F7ACR9', 'A0A571BGC6', 'A0A571BF93', 'A0A0A0MQA6', 'B1ARU4', 'A0A0A0MQH5', 'A0A286YD76', 'A0A991ENV0', 'A0A991EKY2', 'A0A5F8MP99', 'F6RL59', 'F6RCJ3', 'F6SHS0', 'F6XCT0', 'F6YKN8']"
ENSMUSG00000028651.13,Q9QZH3
ENSMUSG00000028653.17,Q80UN9
ENSMUSG00000028654.14,P10166
ENSMUSG00000028655.12,Q9DA75
ENSMUSG00000028656.15,P40124
ENSMUSG00000028657.15,O88531
ENSMUSG00000028664.15,P54763
ENSMUSG00000028668.6,Q8CB77
