ensembl_id,uniprot_id
ENSMUSG00000002847.8,Q8VI78
ENSMUSG00000002870.9,P97310
ENSMUSG00000002871.15,Q99MU1
ENSMUSG00000002881.15,Q61122
ENSMUSG00000002885.15,"['A0A0D9SEG8', 'E9QMJ5', 'E9QJS7', 'Q9DC42', 'S4R1V8']"
ENSMUSG00000002897.6,Q60943
ENSMUSG00000002900.18,P02469
ENSMUSG00000002908.18,"['A0A1D5RM38', 'A0A1D5RMF8', 'A0A1D5RLS4', 'A0A1D5RLR9', 'Z4YL28', 'A0A1D5RMB2', 'A0A140T8Q8']"
ENSMUSG00000002910.12,Q9D668
ENSMUSG00000002930.7,Q9Z2E4
ENSMUSG00000002944.16,Q08857
ENSMUSG00000002948.20,Q8CE90
