ensembl_id,uniprot_id
ENSMUSG00000021714.16,Q9ESN5
ENSMUSG00000021715.13,Q3TKY6
ENSMUSG00000021716.15,Q4V9W2
ENSMUSG00000021719.10,Q8BQP9
ENSMUSG00000021720.12,Q3U827
ENSMUSG00000021725.10,Q3UD82
ENSMUSG00000021728.9,P21995
ENSMUSG00000021730.9,O88704
ENSMUSG00000021731.11,Q9D0G0
ENSMUSG00000021732.15,O35565
ENSMUSG00000021733.12,"['A0A286YCX2', 'A0A286YCS4', 'A0A286YCX8', 'A0A286YD46', 'A0A286YDK8', 'E3UVT9', 'A0A286YDJ7', 'I1VGT6', 'E3UVT8', 'H6WZF5', 'H6WZ45', 'J9RDH0', 'J9RV59', 'I1VGT5', 'I1VGT4', 'D3Y272', 'D3Y273', 'F8VQC9', 'A0A286YDR1']"
