ensembl_id,uniprot_id
ENSMUSG00000022149.19,P06683
ENSMUSG00000022150.17,"['A0A0R4J104', 'A0A1Y7VGS2', 'E0CYJ2', 'F6TQN9', 'E0CZ53', 'E0CXT5', 'Q9DCE6', 'E9QL31', 'E9PX84', 'Q3TRE6']"
ENSMUSG00000022151.17,Q9D6K7
ENSMUSG00000022159.17,P59279
ENSMUSG00000022160.19,"['A0A0R4J041', 'G3UX68', 'G3UY98', 'G3UZP2', 'G3UXX7', 'G3UYB5', 'G5E922', 'G3UXN3', 'G3UZP3']"
ENSMUSG00000022174.9,P61804
ENSMUSG00000022175.10,Q7TQH7
ENSMUSG00000022176.12,"['E9PVZ0', 'F6Z0Z5', 'E9Q4D5']"
ENSMUSG00000022177.10,Q8BFT2
ENSMUSG00000022178.12,Q91XC0
ENSMUSG00000022179.6,Q8K2W9
