ensembl_id,uniprot_id
ENSMUSG00000032409.16,"['A0A1L1SSL9', 'E9QPK4']"
ENSMUSG00000032410.14,"['F8VQ87', 'A0A087WQN7', 'A0A087WQ18', 'A0A087WNV6']"
ENSMUSG00000032411.16,"['A0A1B0GXK0', 'A0A087WSK4', 'J3QK26', 'A0A087WPU8', 'E9PWL5', 'F6QG91', 'A0A087WNL4', 'Q8BHD2', 'A0A087WRW3', 'A0A087WQV5', 'A0A087WPS0']"
ENSMUSG00000032412.9,P97370
ENSMUSG00000032413.13,P58069
ENSMUSG00000032415.15,Q8BX13
ENSMUSG00000032417.11,Q14BN8
ENSMUSG00000032418.16,P06801
ENSMUSG00000032420.9,Q61503
ENSMUSG00000032422.19,Q8BHY8
ENSMUSG00000032423.14,Q7TMK9
