ensembl_id,uniprot_id
ENSMUSG00000039167.13,Q923X1
ENSMUSG00000039168.16,Q91XC8
ENSMUSG00000039176.18,"['Q75WC0', 'A0A0J9YTZ6', 'A0A0J9YTR4', 'A0A0J9YU70', 'A0A0J9YUA1', 'F7BP45', 'F6YLN2', 'A0A0J9YV64', 'A0A0J9YU03', 'D6RIP1']"
ENSMUSG00000039178.10,"['A0A0J9YU68', 'A0A0J9YV98', 'A0A0J9YU35', 'Q8VDV7']"
ENSMUSG00000039179.14,G5E8A8
ENSMUSG00000039182.7,Q91WD4
ENSMUSG00000039183.7,Q9R061
ENSMUSG00000039187.17,Q8K368
ENSMUSG00000039191.13,P31266
ENSMUSG00000039193.10,Q3UP24
ENSMUSG00000039195.5,P58686
