ensembl_id,uniprot_id
ENSMUSG00000002949.16,O35857
ENSMUSG00000002957.12,P17427
ENSMUSG00000002963.18,"['G5E8N7', 'D3YZV7', 'A0A0J9YVH5', 'A0A0J9YV48', 'A0A0J9YUF9', 'A0A140LJ53', 'A0A0J9YTV1', 'A0A0J9YUT2', 'A0A140LIZ1', 'A0A0J9YVJ6', 'E9Q9A5']"
ENSMUSG00000002968.10,Q8VCB2
ENSMUSG00000002980.15,Q9R069
ENSMUSG00000002981.11,Q8VBZ3
ENSMUSG00000002983.18,Q04863
ENSMUSG00000002984.18,Q9QYA2
ENSMUSG00000002985.17,P08226
ENSMUSG00000002992.18,Q05020
ENSMUSG00000002996.18,"['E9Q1A8', 'H3BJW8', 'H3BKS6', 'H3BKV0', 'H3BKQ9', 'H3BJQ4', 'E9Q469']"
ENSMUSG00000002997.16,P31324
