ensembl_id,uniprot_id
ENSMUSG00000040761.17,"['A2ADB0', 'A2ADB1']"
ENSMUSG00000040767.12,Q8VIK1
ENSMUSG00000040771.15,Q8R5F3
ENSMUSG00000040774.16,Q8BGS7
ENSMUSG00000040782.13,Q9R1A8
ENSMUSG00000040785.20,"['F6XYB0', 'G5E8T2', 'A0A0R4J1T2', 'D3Z2K0', 'D3YZ03', 'D6RD03', 'D6RDD2', 'D6RFU5', 'D6RHT6', 'D3Z485', 'A0A338P6W3', 'A0A338P789', 'A0A338P718', 'E9QAH3', 'A0A338P6J6', 'F6ZS17', 'D3Z330', 'D6REF1', 'D3YZA6', 'A0A338P6H3', 'D3Z3E5', 'F7DAQ7', 'G5E8U3', 'Q05BF2', 'D3Z502']"
ENSMUSG00000040794.6,Q8R066
ENSMUSG00000040795.13,A2ADZ8
ENSMUSG00000040797.17,Q3TES0
ENSMUSG00000040808.5,P97816
ENSMUSG00000040809.11,O35744
