ensembl_id,uniprot_id
ENSMUSG00000032495.9,"['A0A0G2JFV2', 'A0A0G2JDG6', 'A0A0R4J0F2']"
ENSMUSG00000032496.8,P08071
ENSMUSG00000032497.20,"['A0A1L1SVG1', 'A0A0G2JGZ1', 'A0A0G2JEF6', 'A0A668KLE1', 'A0A1L1SSC0', 'A0A0G2JDR6', 'A0A0G2JFV5', 'A0A1L1SQW1', 'A0A0G2JEP4', 'A0A0R4J169', 'E9QN52']"
ENSMUSG00000032498.10,Q9JK91
ENSMUSG00000032500.11,Q8BWQ5
ENSMUSG00000032501.10,Q8K4K4
ENSMUSG00000032502.9,P97306
ENSMUSG00000032503.19,Q9DCB4
ENSMUSG00000032504.16,Q9WU78
ENSMUSG00000032507.16,Q8BH16
ENSMUSG00000032508.9,P22366
