ensembl_id,uniprot_id
ENSMUSG00000025555.15,F8VPU2
ENSMUSG00000025557.11,Q9JIP7
ENSMUSG00000025558.20,"['A0A571BG77', 'A0A1D5RLB8', 'A0A1D5RMM1', 'A0A1D5RLE0', 'A0A5F8MPL9', 'E9QMR2', 'F8VPN7']"
ENSMUSG00000025571.14,"['B7ZC94', 'B1ATC3']"
ENSMUSG00000025572.19,"['B1ATB3', 'B1ATB7', 'A0A0G2JDA0', 'D6RCY1', 'B1ATB6', 'B1ATB5', 'F7D254']"
ENSMUSG00000025574.14,P04184
ENSMUSG00000025575.15,Q8VCF1
ENSMUSG00000025576.18,Q8BIF2
ENSMUSG00000025577.8,P30658
ENSMUSG00000025578.10,Q9QXV1
ENSMUSG00000025579.15,P70699
