ensembl_id,uniprot_id
ENSMUSG00000006599.14,"['G3X8R4', 'E9QKD9', 'D6RJL7', 'E9PWY2']"
ENSMUSG00000006611.16,P70387
ENSMUSG00000006638.17,
ENSMUSG00000006641.13,Q5U4D8
ENSMUSG00000006642.4,Q9JLR5
ENSMUSG00000006649.18,Q9QZS7
ENSMUSG00000006651.9,Q03157
ENSMUSG00000006673.15,"['A0A0A6YY13', 'A0A0A6YXZ6', 'Q8BUN3', 'A0A0A6YWV5', 'A0A0A6YXK0', 'A0A0A6YWT7', 'A0A0A6YXK2', 'A0A0A6YVQ2', 'G3X8R5']"
ENSMUSG00000006675.11,Q8BG58
ENSMUSG00000006676.18,Q3UJD6
ENSMUSG00000006678.7,P33609
ENSMUSG00000006699.18,P60766
